player,Normalized Win Probability
Lionel Messi,51.501194782285985
Cristiano Ronaldo,26.83808315237369
Mario Gómez,13.625135229906817
Karim Benzema,0.7811926562569899
Zlatan Ibrahimović,0.6339213378795443
Edinson Cavani,0.45180767827105617
Petr Čech,0.27494205405808275
Frank Lampard,0.17766553740517452
Franck Ribéry,0.16909048100648408
Roberto Soldado,0.16836157772188884
André Ayew,0.16677098630589735
Manuel Neuer,0.1630309075233702
Ramires,0.15323134138674552
Arjen Robben,0.15036397122880404
Bafétimbi Gomis,0.15027025038743794
Juan Mata,0.148469637851298
Didier Drogba,0.14452764672265328
Philipp Lahm,0.13182028150187666
Branislav Ivanović,0.12810802036092944
Sergio Ramos,0.11037529454384924
Víctor Valdés,0.10804728516196384
Ashley Cole,0.10595142341381977
Steve Mandanda,0.10570887577503267
Iker Casillas,0.09977000205685707
John Terry,0.09880197903212981
Toni Kroos,0.09077532560126456
Jérôme Boateng,0.08336734884616685
Thomas Müller,0.07860178701390608
Loïc Rémy,0.0765824058893344
Eden Hazard,0.06987497229313727
Marek Hamšík,0.06863772982604671
Fernando Torres,0.06771219440542539
Mesut Özil,0.06575776632010637
Holger Badstuber,0.06487359339991666
Antonio Nocerino,0.06349234219461702
Nicolas Nkoulou,0.059710271551938796
Robert Lewandowski,0.05708476726736015
David Luiz,0.056798196036560826
Morgan De Sanctis,0.05185596436966945
Xavi,0.05046874476331765
Lúcio,0.049092160453584645
Javier Mascherano,0.04885629555348185
Sergio Busquets,0.04860208981830186
Gonzalo Higuaín,0.04758231236691798
Esteban Cambiasso,0.04732640920326017
Xabi Alonso,0.0455230684391358
Hugo Lloris,0.04393467459515318
Ezequiel Lavezzi,0.04276698428326041
Raul Meireles,0.04268535103009874
Yaya Touré,0.04208798192517132
Pepe,0.04040462003599451
Christian Abbiati,0.03978980160868128
Mathieu Valbuena,0.03969063523596896
André Schürrle,0.03911345009241829
Wojciech Szczęsny,0.03831022785183191
Bernd Leno,0.03816483685493017
Javier Zanetti,0.03682161490574764
Andrés Iniesta,0.0366609856860022
Diego López,0.035987148925719845
Jérémy Morel,0.03292120553947137
Stefan Kießling,0.03285085133200994
Maxime Gonalons,0.03284117917862243
Jimmy Briand,0.03179120017403788
Adil Rami,0.03146732159793674
Gökhan Inler,0.031163609775744783
Cesc Fàbregas,0.030368367374276763
César Azpilicueta,0.03014455656557635
Dani Alves,0.02991812393763096
Hugo Campagnaro,0.028643156516590423
Alou Diarra,0.028032034664514354
Anthony Réveillère,0.02786905865458096
Roman Shirokov,0.027096663147392234
Sami Khedira,0.026875925122529343
José Bosingwa,0.02671283623142031
Ignazio Abate,0.026490948541910385
Robinho,0.025719069594116455
Rio Mavuba,0.025493240546797722
Thiago Silva,0.024731227183175785
Lars Bender,0.02392315899574699
Joe Hart,0.023855983795671366
Michal Kadlec,0.023714591969012034
Mats Hummels,0.022913318623973947
Gonzalo Castro,0.022229638596136487
Seydou Doumbia,0.022120595414628064
Paolo Cannavaro,0.021459128277260854
Bakary Koné,0.021457592876684084
Benoît Cheyrou,0.021311328727594336
Mathieu Debuchy,0.021215712328931484
Yuto Nagatomo,0.021169719875903586
Alexandre Song,0.021067970615312223
Kim Källström,0.020869452912875848
Carles Puyol,0.020445560577496455
Souleymane Diawara,0.02001655493988433
Aly Cissokho,0.019647705677689153
Łukasz Piszczek,0.01915620800523665
Walter Gargano,0.018656476194509043
Óscar Cardozo,0.018637974162631014
Mikel Arteta,0.01810154892282365
Walter Samuel,0.01756746289767286
Álvaro Arbeloa,0.017194776166311546
Michel Bastos,0.016881388763265857
Salvatore Aronica,0.016697938425057977
Alexander Frei,0.016686420309935376
Roman Weidenfeller,0.016244315690651635
Vincent Kompany,0.016054438807578383
Hulk,0.01478825856037079
Gustavo Manduca,0.014389197067318508
Christian Maggio,0.014166912234605747
Juan Zúñiga,0.014014085393250358
Simon Rolfes,0.013537323601223818
Bastian Schweinsteiger,0.01333430478472594
David Alaba,0.01284830825475964
Morgan Amalfitano,0.012723151802491832
Ömer Toprak,0.012584234044575988
Franck Béria,0.012501487602045058
Luiz Gustavo,0.011907230434507783
Sidney Sam,0.011696953739520356
Aílton Gonçalves,0.011219790124591953
Júlio César,0.01075256911697839
John Obi Mikel,0.010489369909777543
Anatoliy Tymoshchuk,0.010476227932248333
Maxi Pereira,0.009210863342877545
Artur Moraes,0.008759205678204682
