player,Normalized Win Probability
Cristiano Ronaldo,40.10989010989011
Lionel Messi,37.362637362637365
Neymar,14.560439560439562
Manuel Neuer,1.098901098901099
Luiz Adriano,1.098901098901099
Sergio Agüero,1.098901098901099
Marc-André ter Stegen,1.098901098901099
Eden Hazard,0.8241758241758242
Carlos Tevez,0.8241758241758242
Thomas Müller,0.5494505494505495
Santi Cazorla,0.5494505494505495
John Terry,0.27472527472527475
Marcelo,0.27472527472527475
Luis Suárez,0.27472527472527475
Anton Tinnerholm,0.0
Alex Sandro,0.0
Alex Teixeira,0.0
Alexis Sánchez,0.0
Aleš Mertelj,0.0
Andrea Pirlo,0.0
Andrea Raggi,0.0
Andriy Pyatov,0.0
Antoine Griezmann,0.0
Blaise Matuidi,0.0
Behrang Safari,0.0
Arda Turan,0.0
Arthur Masuaku,0.0
Arturo Vidal,0.0
Atsuto Uchida,0.0
Aymen Abdennour,0.0
Alberto Botía,0.0
Benedikt Höwedes,0.0
Bernd Leno,0.0
Emil Forsberg,0.0
Enoch Kofi Adu,0.0
Aleksander Rajčević,0.0
Domenico Criscito,0.0
Andrés Iniesta,0.0
Branislav Ivanović,0.0
Dani Alves,0.0
Danijel Subašić,0.0
Danilo,0.0
Danny,0.0
Darijo Srna,0.0
David Alaba,0.0
David Luiz,0.0
Davy Klaassen,0.0
Dennis Aogo,0.0
Dennis Praet,0.0
Derlis González,0.0
Diego Costa,0.0
Diego Godín,0.0
Dimitar Berbatov,0.0
Eric Maxim Choupo-Moting,0.0
Douglas Costa,0.0
Edinson Cavani,0.0
Carlão,0.0
Bruno Martins Indi,0.0
Ahmed Musa,0.0
Jasmin Handanović,0.0
Ivan Rakitić,0.0
Gaël Clichy,0.0
Ezequiel Garay,0.0
Fabian Frei,0.0
Fabian Schär,0.0
Fabiano,0.0
Fabinho,0.0
Felipe Melo,0.0
Filip Helander,0.0
Gabi,0.0
Gareth Bale,0.0
Héctor Herrera,0.0
Iván Marcano,0.0
Geoffrey Kondogbia,0.0
Gerard Piqué,0.0
Gianluigi Buffon,0.0
Giorgio Chiellini,0.0
Gorka Iraizoz,0.0
Gregory van der Wiel,0.0
Hakan Çalhanoğlu,0.0
Henrikh Mkhitaryan,0.0
Hulk,0.0
Gary Cahill,0.0
Igor Akinfeev,0.0
Iker Casillas,0.0
Isco,0.0
Jackson Martínez,0.0
James Milner,0.0
James Rodríguez,0.0
Chancel Mbemba,0.0
Jasper Cillessen,0.0
Javi García,0.0
Javier Mascherano,0.0
Javier Pastore,0.0
Joe Hart,0.0
Jordi Alba,0.0
João Moutinho,0.0
Juan Bernat,0.0
Juanfran,0.0
Jérémy Toulalan,0.0
Jérôme Boateng,0.0
Júnior Caiçara,0.0
Karim Bellarabi,0.0
Karim Benzema,0.0
Kieran Gibbs,0.0
Claudio Marchisio,0.0
Stephan Lichtsteiner,0.0
Cesc Fàbregas,0.0
Mario Götze,0.0
Layvin Kurzawa,0.0
Leonardo Bonucci,0.0
Luca Zuffi,0.0
Lucas Moura,0.0
Maicon,0.0
Marco Höger,0.0
Marcos Tavares,0.0
Maxwell,0.0
Marek Suchý,0.0
Mario Mandžukić,0.0
Tomáš Vaclík,0.0
Mario Suárez,0.0
Markus Halsti,0.0
Markus Rosenberg,0.0
Pierre-Emerick Aubameyang,0.0
Martín Demichelis,0.0
Philipp Lahm,0.0
Raphaël Varane,0.0
Radja Nainggolan,0.0
William Carvalho,0.0
Lasse Schöne,0.0
Lars Bender,0.0
Marco Verratti,0.0
Medhi Benatia,0.0
Miranda,0.0
Mohamed Elneny,0.0
Mikhail Gordeichuk,0.0
Mikel Balenziaga,0.0
Mário Fernandes,0.0
Mário Sérgio,0.0
Adrien Silva,0.0
Nabil Dirar,0.0
Nemanja Matić,0.0
Neven Subotić,0.0
Miguel Ángel Moyá,0.0
Olivier Deschacht,0.0
Omar Elabdellaoui,0.0
Patrice Evra,0.0
Paul Pogba,0.0
Pepe,0.0
Per Mertesacker,0.0
Nuno Morais,0.0
Marquinhos,0.0
Thiago Silva,0.0
Toni Kroos,0.0
Casemiro,0.0
Semih Kaya,0.0
Ricardo van Rhijn,0.0
Robert Lewandowski,0.0
Roberto,0.0
Robin Olsen,0.0
Roman Eremenko,0.0
Roman Neustädter,0.0
Rui Patrício,0.0
Svetoslav Dyakov,0.0
Salvatore Sirigu,0.0
Sergei Ignashevich,0.0
Urko Pardo,0.0
Sergio Busquets,0.0
Sergio Ramos,0.0
Simon Mignolet,0.0
Son Heung-min,0.0
Stefan Kießling,0.0
Kostas Mitroglou,0.0
Klaas-Jan Huntelaar,0.0
Koke,0.0
Emir Spahić,0.0
Ricardo Carvalho,0.0
Raúl García,0.0
Kostas Manolas,0.0
Roman Weidenfeller,0.0
Vasili Berezutski,0.0
Vincent Kompany,0.0
Vinicius,0.0
Vyacheslav Shevchuk,0.0
Wesley Sneijder,0.0
Xabi Alonso,0.0
Taulant Xhaka,0.0
Yacine Brahimi,0.0
Yannick Carrasco,0.0
Yaroslav Rakitskiy,0.0
Yuri Lodygin,0.0
Álvaro Arbeloa,0.0
Álvaro Morata,0.0
Éric Abidal,0.0
Óliver Torres,0.0
Ömer Toprak,0.0
Thiago Motta,0.0
Taras Stepanenko,0.0
Ralf Fährmann,0.0
Željko Filipović,0.0
